指标名,英文名,英文简称,类别,左边界,右边界,单位,专业解读,建议,适用范围,健康解读
3磷酸甘油醛脱氢酶,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,酶学检测,2341,428,UL,3磷酸甘油醛脱氢酶(Glyceraldehyde-3-phosphate dehydrogenase，GAPD)的系统名为D-甘油醛-3-磷酸：辅酶I氧化还原酶(具磷酸化作用)。它催化3-磷酸甘油醛氧化(脱氢)和磷酸化，生成1，3-二磷酸甘油酸，是糖代谢的中心环节，故对糖代谢起着重要的作用。,该酶测定方法较为复杂，且酶活性不稳定，给常规应用带来一定的困难。,急性心肌梗塞、急性肝炎、酒精性肝病、肝硬变、慢性肾盂肾炎、多发性骨髓病、肺炎、肺气肿等疾病的诊断。,血清GAPD总活性升高可能与急性心肌梗塞、急性肝炎、酒精性肝病、肝硬变等疾病有关。
5'-核苷酸酶,5'-Nucleotidase,5NT,肝功能,2,17,U/L,5'-核苷酸酶是一种对底物特异性不高的水解酶，可作用于多种核苷酸。此酶主要来源于肝脏，广泛存在于人体组织，如肝、胆、肠、脑、心、胰等。定位于细胞质膜上，在肝内此酶主要存在于胆小管和窦状隙膜内。血清中5NT测定主要用于肝胆系统疾病的诊断和骨骼疾病的鉴别诊断。,5NT与ALP联合检测有助于鉴别血清ALP升高是肝胆疾病还是骨骼疾病所致。,肝胆系统疾病的诊断和骨骼疾病的鉴别诊断。,血清中5NT活性增高主要见于肝胆系统疾病，如阻塞性黄疸、原发性及继发性肝癌、肝炎等。在骨骼系统疾病中，如肿瘤转移、畸形性骨炎、甲状旁腺机能亢进、佝偻病等，ALP活性通常增高，但5NT正常。
AST/ALT,AST to ALT ratio,AST_ALT_ratio,肝功能,0.8,1.5,,AST/ALT正常值范围是0.8-1.5。AST/ALT即天门冬氨酸氨基转移酶和丙氨酸氨基转移酶的比值，是肝功能的常用指标之一，用来反映肝细胞受损的情况。AST/ALT的升高和降低，对一些肝脏疾病有提示意义。,"1、AST/ALT降低
ALT主要分布在肝脏的肝细胞胞浆中，其次是骨骼肌、肾脏、心肌等组织中。急性肝炎、慢性肝炎和轻型肝炎时，虽有肝细胞的损伤，但是肝细胞的线粒体仍保持完整，故释放入血的只有存在于肝细胞浆内的ALT，所以肝功能主要表现为ALT的升高，AST/ALT的比值<1。

2、AST/ALT增高
AST主要分布在心肌，其次在肝脏、骨骼肌和肾脏组织中，在肝脏主要是肝细胞胞浆和肝细胞的线粒体中。重型肝炎和中型及重型慢性肝炎，肝细胞的线粒体遭到了严重的破坏，AST从线粒体和胞浆内释出，因而表现出 AST/ALT的比值1。肝硬化和肝癌患者肝细胞的破坏程度更加严重，线粒体也受到了严重的破坏，因此AST升高明显AST/ALT的比值>1，甚至大于2。

AST/ALT不在正常值范围内的人群，在日常生活中还需注意戒酒、避免油腻饮食、规律作息、避免熬夜。当出现肝功能恶化表现时，建议及时去医院，完善相关检查，进行治疗。",成人,
BMI,Body mass index,BMI,体格测量,18.5,23.9,,BMI（即体质指数）作为评估人体胖瘦程度及健康状态的一个重要指标，被广泛应用于日常健康管理和医学研究中。,"BMI小于18.5（kg/m^2）：表示体重过轻，可能存在营养不良或健康状况不佳的风险。对于这部分人群，建议适当增加营养摄入，尤其是优质蛋白质和高能量食物，以改善身体状况。
BMI在18.5~23.9（kg/m^2）：属于正常体重范围，表明体重与健康状况相匹配。大多数人在这个范围内都能保持良好的身体状态和生活质量。
BMI大于等于24（kg/m^2）：表示超重或肥胖，随着BMI值的增加，健康风险也会相应增加。肥胖与多种慢性疾病密切相关，如心血管疾病、糖尿病、高血压等。因此，对于超重和肥胖人群，应积极采取措施进行体重管理。",成人,
B_2微球蛋白,Beta-2 microglobulin,B2M,肾功能,0.8,2.2,mg/L,  β2微球蛋白（beta-2 microglobulin，简称β2-MG）是人类细胞膜上含有一种小分子蛋白质，是细胞凋亡和免疫系统在某些疾病情况下产生的标志性物质之一。检测人体β2-MG的水平和参考范围可用于指导某些疾病的筛查和诊断。β2-MG的检测通常通过血清或尿液样本进行。β2-MG 的正常参考值随年龄和患者状态的不同而有所差异，参考范围在不同的检测方法中存在差异。常见的血清检测参考范围大约在0.8-2.2 mg/L之间，而尿液中的β2-MG参考范围为0-300mg/L。简单来说，β2-MG水平在一定范围内属于正常状态，超出该范围可能提示某些疾病，例如急慢性肾脏病、艾滋病、某些淋巴瘤 等。,β2微球蛋白主要通过肾脏代谢，当肾脏滤过功能下降时，血液中β2微球蛋白水平会升高。常见原因包括慢性肾病、肾小球肾炎、糖尿病肾病等。治疗方法包括控制原发病，如糖尿病或高血压患者需严格管理血糖和血压。药物治疗可选择ACE抑制剂、ARB类药物或利尿剂，必要时进行透析或肾移植。,成人,
C-反应蛋白,C-reactive protein,CRP,炎症反应,0,2.87,mg/L,C-反应蛋白（C-reactive protein，CRP）是在机体受到感染或组织损伤时血浆中一些急剧上升的蛋白质（急性蛋白），有激活补体和加强吞噬细胞的吞噬而起调理作用，并能够清除入侵机体的病原微生物和损伤、坏死、凋亡的组织细胞。C反应蛋白是一种非特异性炎性标志物，其正常值范围因不同的测量方法、实验室条件以及人群特征而有所差异，C反应蛋白的正常值范围因多种因素而异，但一般可以在0-10mg/L或更具体的范围内波动。,"CRP测定的临床意义：
（1）各种急性炎症、组织损伤、心肌梗死、手术创伤、放射性损伤等疾病发作后数小时迅速升高，并有成倍增长之势。病变好转时，又迅速降至正常，其升高幅度与感染的程度呈正相关。手术后患者CRP升高，术后7~10天CRP水平应下降，如CRP不降低或再次升高，提示可能并发感染或血栓栓塞。
（2）CRP与其他炎症因子，如白细胞总数、红细胞沉降率和多形核白细胞等具有密切相关性。又与WBC存在正相关。在炎症反应中起着积极作用，使人体具有非特异性抵抗力。在患者疾病发作时，可早于WBC而上升，恢复正常也很快，故具有极高的敏感性。
（3）帮助辨别呼吸道感染类型。CRP可用于细菌和病毒感染的鉴别诊断：细菌感染时，CRP水平升高；而病毒感染时，CRP不升高或轻度升高，因此CRP值可以帮助医生辨别呼吸道感染的类型，有针对性的给予药物和治疗。
（4）恶性肿瘤患者CRP都升高，如CRP与AFP的联合检测，可用于肝癌与肝脏良性疾病的鉴别诊断，应用于肝癌疗效及预后的判断。手术前CRP上升，手术后则下降，且其反应不受放疗、化疗和皮质激素治疗的影响，有助于评估肿瘤的进程。
（5）评估急性胰腺炎的严重程度，当CRP高于250mg/L时，则提示为广泛坏死性胰腺炎。
（6）用超敏乳胶增强法测CRP，能提高测定的敏感性，可用于冠心病和心梗危险性的预测",成人,
DNA多聚酶,DNA polymerase,DNAP,酶学检测,0,25,cpm,基因是遗传的物质基础，它决定了病原体的生物特性。除个别病毒外，现知的所有微生物均是以核酸为遗传物质。乙肝病毒的基因是脱氧核糖核酸(DNA)，与病毒复制所必需的DNA聚合酶关系密切。因此基因检测成为乙肝检测组成部分。,此酶的活性可在乙肝病毒感染的早期发现，甚至于在HBsAg出现前检出。可作为乙肝病毒复制及有传染性的标志。,乙肝病毒持续感染者、急性乙型肝炎潜伏期、初期、繁殖期、乙型慢性肝炎、乙型慢性肝炎的e抗体阳性、DNA多聚酶高值时说明肝功能恶化。,升高：乙肝病毒持续感染者、急性乙型肝炎潜伏期、初期、繁殖期、乙型慢性肝炎、乙型慢性肝炎的e抗体阳性、DNA多聚酶高值时说明肝功能恶化。降低：乙型慢性肝炎的e抗原阳性者。
L-谷氨酸脱氢酶,Glutamate dehydrogenase,GLUD,肝功能,2.5,80,U/L,该酶集中分布于动物肝细胞线粒体基质中，是尿素循环的关键酶类之一。在哺乳动物代谢中，它既是氨基酸分解代谢的重要参与者，也是氨同化作用的唯一碳源供应者。血清L-谷氨酸脱氢酶活性升高可作为肝细胞线粒体损伤的特异性指标。,临床检测中可通过ELISA法、酶偶联法或比色法进行测定。保存时需注意冻干粉在-20°C下可稳定保存12个月，悬浮液制剂需避免反复冻融。,广泛应用于氨、酮戊二酸等代谢产物的检测，以及肝性脑病发病机制研究等科研领域。,该酶活性异常可能反映肝细胞线粒体损伤，正常活性范围对维持氨基酸代谢和氨解毒功能至关重要。
N-乙酰基转移酶,N-acetyltransferase,NAT,酶学检测,,,,N-乙酰基转移酶（NAT）是一类催化乙酰基团在乙酰辅酶A与胺类底物间转移的酶类，其系统分类编号为E.C.2.3.1.5。该酶对芳香胺具有底物特异性，既能通过乙酰辅酶A介导的乙酰化反应修饰胺类物质，也可直接在两分子芳香胺间转移乙酰基。人类基因组中NAT1和NAT2基因编码的酶参与药物代谢与解毒，其中NAT1分布于外周组织，NAT2主要存在于肝脏，两者的基因多态性导致个体乙酰化代谢能力差异，并被FDA列为药物基因组生物标记。,,药物代谢与解毒,
N-乙酰胞壁质聚糖水解酶,Lysozyme,LZM,酶学检测,3,3,无,"通过专一性裂解肽聚糖分子的N-乙酰胞壁酸与乙酰葡萄糖胺之间的1,4糖苷键，破坏革兰氏阳性菌细胞壁的完整性，导致细胞渗透压失衡而裂解死亡。对革兰氏阴性菌作用有限，因其外膜结构阻碍酶分子接触肽聚糖层。",常与Nisin、柠檬酸等物质复配应用于食品防腐领域。,食品防腐,该酶在酸性条件下具有优异的热稳定性（pH 3.0时96℃加热15分钟仍保留87%活性），与壳聚糖结合制成的涂膜液对腌腊肉制品的菌落总数增长具有显著抑制作用。
