Metric Name (CN),English Name,English Abbreviation,Category,Lower Bound,Upper Bound,Unit,Professional Interpretation,Recommendations,Applicable Scope,Health Interpretation,Aliases
Glyceraldehyde-3-phosphate dehydrogenase,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,Enzyme Assay,2341,428,UL,Glyceraldehyde-3-phosphate dehydrogenase (GAPD) has the systematic name D-glyceraldehyde-3-phosphate: NAD+ oxidoreductase (phosphorylating). It catalyzes the oxidation (dehydrogenation) and phosphorylation of glyceraldehyde-3-phosphate to generate 1,3-bisphosphoglycerate, which is a central step in glycolysis and plays an important role in glucose metabolism.,"The assay method for this enzyme is relatively complex, and enzyme activity is unstable, which presents certain difficulties for routine application.,Diagnosis of diseases such as acute myocardial infarction, acute hepatitis, alcoholic liver disease, cirrhosis, chronic pyelonephritis, multiple myeloma, pneumonia, and emphysema.,Elevated total GAPD activity in serum may be associated with diseases such as acute myocardial infarction, acute hepatitis, alcoholic liver disease, and cirrhosis.",
5'-Nucleotidase,5'-Nucleotidase,5NT,Liver Function,2,17,U/L,5'-Nucleotidase is a hydrolase with low substrate specificity that can act on various nucleotides. This enzyme is mainly derived from the liver and is widely distributed in human tissues such as liver, gallbladder, intestine," brain, heart, and pancreas. It is located on the cytoplasmic membrane, and within the liver, this enzyme is mainly found in the bile canaliculi and sinusoidal membranes. Serum 5NT measurement is mainly used for the diagnosis of hepatobiliary system diseases and the differential diagnosis of bone diseases.,Combined detection of 5NT and ALP helps to distinguish whether elevated serum ALP is caused by hepatobiliary disease or bone disease.,Diagnosis of hepatobiliary system diseases and differential diagnosis of bone diseases.,Elevated 5NT activity in serum is mainly seen in hepatobiliary system diseases, such as obstructive jaundice, primary and secondary liver cancer, and hepatitis. In bone system diseases, such as tumor metastasis, Paget disease of bone, hyperparathyroidism, and rickets, ALP activity is usually elevated, but 5NT is normal.",
AST to ALT ratio,AST to ALT ratio,AST_ALT_ratio,Liver Function,0.8,1.5,,The normal range for AST/ALT is 0.8-1.5. AST/ALT is the ratio of aspartate aminotransferase to alanine aminotransferase, which is one of the common indicators of liver function used to reflect the condition of hepatocyte damage. The increase and decrease of AST/ALT have indicative significance for some liver diseases.,"1. AST/ALT decrease: ALT is mainly distributed in the cytoplasm of hepatocytes, followed by skeletal muscle, kidney, myocardium and other tissues. In acute hepatitis, chronic hepatitis and mild hepatitis, although there is damage to hepatocytes, the mitochondria of hepatocytes remain intact, so only ALT in the cytoplasm is released into the blood, and liver function mainly manifests as ALT elevation, with AST/ALT ratio <1. 2. AST/ALT increase: AST is mainly distributed in the myocardium, followed by liver, skeletal muscle and kidney tissues, and in the liver it is mainly in the cytoplasm and mitochondria of hepatocytes. In severe hepatitis and moderate to severe chronic hepatitis, the mitochondria of hepatocytes are severely damaged, and AST is released from mitochondria and cytoplasm, thus showing AST/ALT ratio ≥1. In patients with cirrhosis and liver cancer, the destruction of hepatocytes is more severe, and mitochondria are also severely damaged, so AST elevation is obvious, AST/ALT ratio >1, or even greater than 2. People with AST/ALT outside the normal range should also pay attention to abstaining from alcohol, avoiding greasy diet, regular work and rest, and avoiding staying up late in daily life. When symptoms of liver function deterioration appear, it is recommended to go to the hospital in time, complete relevant examinations, and receive treatment.","Adults,",
Body mass index,Body mass index,BMI,Physical Measurement,18.5,23.9,,BMI (Body Mass Index) is an important indicator for assessing body weight and health status, widely used in daily health management and medical research.,"BMI less than 18.5 (kg/m^2): Indicates underweight, which may pose risks of malnutrition or poor health. For this population, it is recommended to appropriately increase nutritional intake, especially high-quality protein and high-energy foods, to improve physical condition.",,
BMI between 18.5-23.9 (kg/m^2): Belongs to the normal weight range, indicating that body weight matches health status. Most people in this range can maintain good physical condition and quality of life.,,,,,,,,,,
BMI greater than or equal to 24 (kg/m^2): Indicates overweight or obesity. As BMI values increase, health risks also increase accordingly. Obesity is closely related to various chronic diseases, such as cardiovascular disease, diabetes, and hypertension. Therefore, for overweight and obese populations," active measures should be taken for weight management.""",Adults,,,,
Beta-2 microglobulin,Beta-2 microglobulin,B2M,Renal Function,0.8,2.2,mg/L,Beta-2 microglobulin (β2-MG) is a small molecular protein contained on human cell membranes and is one of the marker substances produced by apoptosis and the immune system under certain disease conditions. Detection of β2-MG levels and reference ranges in humans can guide the screening and diagnosis of certain diseases. β2-MG detection is usually performed through serum or urine samples. The normal reference values for β2-MG vary with age and patient status, and reference ranges differ among different detection methods. Common serum detection reference ranges are approximately 0.8-2.2 mg/L, while the β2-MG reference range in urine is 0-300 mg/L. Simply put," β2-MG levels within a certain range are normal, and exceeding this range may indicate certain diseases, such as acute and chronic kidney disease, AIDS, and certain lymphomas.,Beta-2 microglobulin is mainly metabolized through the kidneys. When renal filtration function decreases, β2-microglobulin levels in the blood will increase. Common causes include chronic kidney disease, glomerulonephritis, and diabetic nephropathy. Treatment methods include controlling the primary disease, such as strict management of blood sugar and blood pressure for patients with diabetes or hypertension. Drug treatment can choose ACE inhibitors, ARB drugs, or diuretics, and dialysis or kidney transplantation when necessary.,Adults,",
C-reactive protein,C-reactive protein,CRP,Inflammatory Response,0,2.87,mg/L,C-reactive protein (CRP) is a protein that rises sharply in plasma when the body is infected or tissue is damaged (acute phase protein). It has the function of activating complement and enhancing phagocytosis by phagocytes, and can clear invading pathogens and damaged, necrotic," and apoptotic tissue cells. C-reactive protein is a non-specific inflammatory marker, and its normal value range varies with different measurement methods, laboratory conditions, and population characteristics. The normal value range of C-reactive protein varies due to multiple factors, but generally can fluctuate within 0-10 mg/L or more specific ranges.,Clinical significance of CRP measurement:",
(1) Rapid elevation occurs within hours after the onset of various acute inflammations, tissue damage, myocardial infarction, surgical trauma, radiation injury, etc., with a tendency to multiply. When the condition improves, it quickly returns to normal, and the magnitude of elevation is positively correlated with the degree of infection. Postoperative patients with elevated CRP should see CRP levels decrease 7-10 days after surgery. If CRP does not decrease or rises again, it may indicate concurrent infection or thromboembolism.,,
(2) CRP has a close correlation with other inflammatory factors, such as total white blood cell count, erythrocyte sedimentation rate, and polymorphonuclear leukocytes. It also has a positive correlation with WBC. It plays an active role in inflammatory reactions, giving the human body non-specific resistance. In patients with disease onset, it can rise earlier than WBC and return to normal quickly, so it has extremely high sensitivity.,,,,,
